total pixels, size of ascii file (bytes), size of compressed binary file (bytes), size of decompressed ascii file (bytes), size of SVD.txt (bytes), rank, size of compressed binary SVD file (bytes), size of decompressed svd file ascii (bytes) 
22500, 80509, 22505, 80509, 855000, 66, 79471, 80659
22500, 80509, 22505, 80509, 855000, 67, 80675, 80659
22500, 80509, 22505, 80509, 855000, 68, 81879, 80659
22500, 80509, 22505, 80509, 855000, 69, 83083, 80659
22500, 80509, 22505, 80509, 855000, 70, 84287, 80659
22500, 80509, 22505, 80509, 855000, 71, 85491, 80659
22500, 80509, 22505, 80509, 855000, 72, 86695, 80659
22500, 80509, 22505, 80509, 855000, 73, 87899, 80659
22500, 80509, 22505, 80509, 855000, 74, 89103, 80659
22500, 80509, 22505, 80509, 855000, 75, 90307, 80659
22500, 80509, 22505, 80509, 855000, 76, 91511, 80659
22500, 80509, 22505, 80509, 855000, 77, 92715, 80659
22500, 80509, 22505, 80509, 855000, 78, 93919, 80659
22500, 80509, 22505, 80509, 855000, 79, 95123, 80659
22500, 80509, 22505, 80509, 855000, 80, 96327, 80659
22500, 80509, 22505, 80509, 855000, 81, 97531, 80659
22500, 80509, 22505, 80509, 855000, 82, 98735, 80659
22500, 80509, 22505, 80509, 855000, 83, 99939, 80659
22500, 80509, 22505, 80509, 855000, 84, 101143, 80659
22500, 80509, 22505, 80509, 855000, 85, 102347, 80659
22500, 80509, 22505, 80509, 855000, 86, 103551, 80659
22500, 80509, 22505, 80509, 855000, 87, 104755, 80659
22500, 80509, 22505, 80509, 855000, 88, 105959, 80659
22500, 80509, 22505, 80509, 855000, 89, 107163, 80659
22500, 80509, 22505, 80509, 855000, 90, 108367, 80659
22500, 80509, 22505, 80509, 855000, 91, 109571, 80659
22500, 80509, 22505, 80509, 855000, 92, 110775, 80659
22500, 80509, 22505, 80509, 855000, 93, 111979, 80659
22500, 80509, 22505, 80509, 855000, 94, 113183, 80659
22500, 80509, 22505, 80509, 855000, 95, 114387, 80659
22500, 80509, 22505, 80509, 855000, 96, 115591, 80659
22500, 80509, 22505, 80509, 855000, 97, 116795, 80659
22500, 80509, 22505, 80509, 855000, 98, 117999, 80659
22500, 80509, 22505, 80509, 855000, 99, 119203, 80659
40000, 143100, 40005, 143100, 1520000, 1, 1611, 160241
40000, 143100, 40005, 143100, 1520000, 2, 3215, 149864
40000, 143100, 40005, 143100, 1520000, 3, 4819, 144751
40000, 143100, 40005, 143100, 1520000, 4, 6423, 145709
40000, 143100, 40005, 143100, 1520000, 5, 8027, 147301
40000, 143100, 40005, 143100, 1520000, 6, 9631, 145813
40000, 143100, 40005, 143100, 1520000, 7, 11235, 143139
40000, 143100, 40005, 143100, 1520000, 8, 12839, 143893
40000, 143100, 40005, 143100, 1520000, 9, 14443, 143598
40000, 143100, 40005, 143100, 1520000, 10, 16047, 144033
40000, 143100, 40005, 143100, 1520000, 11, 17651, 144666
40000, 143100, 40005, 143100, 1520000, 12, 19255, 143847
40000, 143100, 40005, 143100, 1520000, 13, 20859, 143231
40000, 143100, 40005, 143100, 1520000, 14, 22463, 144010
40000, 143100, 40005, 143100, 1520000, 15, 24067, 144767
40000, 143100, 40005, 143100, 1520000, 16, 25671, 144556
40000, 143100, 40005, 143100, 1520000, 17, 27275, 144188
40000, 143100, 40005, 143100, 1520000, 18, 28879, 144263
40000, 143100, 40005, 143100, 1520000, 19, 30483, 144114
40000, 143100, 40005, 143100, 1520000, 20, 32087, 144640
40000, 143100, 40005, 143100, 1520000, 21, 33691, 144935
40000, 143100, 40005, 143100, 1520000, 22, 35295, 144617
40000, 143100, 40005, 143100, 1520000, 23, 36899, 144651
40000, 143100, 40005, 143100, 1520000, 24, 38503, 144797
40000, 143100, 40005, 143100, 1520000, 25, 40107, 144960
40000, 143100, 40005, 143100, 1520000, 26, 41711, 145078
40000, 143100, 40005, 143100, 1520000, 27, 43315, 145139
40000, 143100, 40005, 143100, 1520000, 28, 44919, 145079
40000, 143100, 40005, 143100, 1520000, 29, 46523, 144948
40000, 143100, 40005, 143100, 1520000, 30, 48127, 144952
40000, 143100, 40005, 143100, 1520000, 31, 49731, 145064
40000, 143100, 40005, 143100, 1520000, 32, 51335, 144916
40000, 143100, 40005, 143100, 1520000, 33, 52939, 144791
40000, 143100, 40005, 143100, 1520000, 34, 54543, 144825
40000, 143100, 40005, 143100, 1520000, 35, 56147, 144995
40000, 143100, 40005, 143100, 1520000, 36, 57751, 144691
40000, 143100, 40005, 143100, 1520000, 37, 59355, 144613
40000, 143100, 40005, 143100, 1520000, 38, 60959, 144454
40000, 143100, 40005, 143100, 1520000, 39, 62563, 144275
40000, 143100, 40005, 143100, 1520000, 40, 64167, 144182
40000, 143100, 40005, 143100, 1520000, 41, 65771, 144114
40000, 143100, 40005, 143100, 1520000, 42, 67375, 143983
40000, 143100, 40005, 143100, 1520000, 43, 68979, 143839
40000, 143100, 40005, 143100, 1520000, 44, 70583, 143731
40000, 143100, 40005, 143100, 1520000, 45, 72187, 143695
40000, 143100, 40005, 143100, 1520000, 46, 73791, 143616
40000, 143100, 40005, 143100, 1520000, 47, 75395, 143564
40000, 143100, 40005, 143100, 1520000, 48, 76999, 143510
40000, 143100, 40005, 143100, 1520000, 49, 78603, 143420
40000, 143100, 40005, 143100, 1520000, 50, 80207, 143352
40000, 143100, 40005, 143100, 1520000, 51, 81811, 143310
40000, 143100, 40005, 143100, 1520000, 52, 83415, 143300
40000, 143100, 40005, 143100, 1520000, 53, 85019, 143300
40000, 143100, 40005, 143100, 1520000, 54, 86623, 143300
40000, 143100, 40005, 143100, 1520000, 55, 88227, 143300
40000, 143100, 40005, 143100, 1520000, 56, 89831, 143300
40000, 143100, 40005, 143100, 1520000, 57, 91435, 143300
40000, 143100, 40005, 143100, 1520000, 58, 93039, 143300
40000, 143100, 40005, 143100, 1520000, 59, 94643, 143300
40000, 143100, 40005, 143100, 1520000, 60, 96247, 143300
40000, 143100, 40005, 143100, 1520000, 61, 97851, 143300
40000, 143100, 40005, 143100, 1520000, 62, 99455, 143300
40000, 143100, 40005, 143100, 1520000, 63, 101059, 143300
40000, 143100, 40005, 143100, 1520000, 64, 102663, 143300
40000, 143100, 40005, 143100, 1520000, 65, 104267, 143300
40000, 143100, 40005, 143100, 1520000, 66, 105871, 143300
40000, 143100, 40005, 143100, 1520000, 67, 107475, 143300
40000, 143100, 40005, 143100, 1520000, 68, 109079, 143300
40000, 143100, 40005, 143100, 1520000, 69, 110683, 143300
40000, 143100, 40005, 143100, 1520000, 70, 112287, 143300
40000, 143100, 40005, 143100, 1520000, 71, 113891, 143300
40000, 143100, 40005, 143100, 1520000, 72, 115495, 143300
40000, 143100, 40005, 143100, 1520000, 73, 117099, 143300
40000, 143100, 40005, 143100, 1520000, 74, 118703, 143300
40000, 143100, 40005, 143100, 1520000, 75, 120307, 143300
40000, 143100, 40005, 143100, 1520000, 76, 121911, 143300
40000, 143100, 40005, 143100, 1520000, 77, 123515, 143300
40000, 143100, 40005, 143100, 1520000, 78, 125119, 143300
40000, 143100, 40005, 143100, 1520000, 79, 126723, 143300
40000, 143100, 40005, 143100, 1520000, 80, 128327, 143300
40000, 143100, 40005, 143100, 1520000, 81, 129931, 143300
40000, 143100, 40005, 143100, 1520000, 82, 131535, 143300
40000, 143100, 40005, 143100, 1520000, 83, 133139, 143300
40000, 143100, 40005, 143100, 1520000, 84, 134743, 143300
40000, 143100, 40005, 143100, 1520000, 85, 136347, 143300
40000, 143100, 40005, 143100, 1520000, 86, 137951, 143300
40000, 143100, 40005, 143100, 1520000, 87, 139555, 143300
40000, 143100, 40005, 143100, 1520000, 88, 141159, 143300
40000, 143100, 40005, 143100, 1520000, 89, 142763, 143300
40000, 143100, 40005, 143100, 1520000, 90, 144367, 143300
40000, 143100, 40005, 143100, 1520000, 91, 145971, 143300
40000, 143100, 40005, 143100, 1520000, 92, 147575, 143300
40000, 143100, 40005, 143100, 1520000, 93, 149179, 143300
40000, 143100, 40005, 143100, 1520000, 94, 150783, 143300
40000, 143100, 40005, 143100, 1520000, 95, 152387, 143300
40000, 143100, 40005, 143100, 1520000, 96, 153991, 143300
40000, 143100, 40005, 143100, 1520000, 97, 155595, 143300
40000, 143100, 40005, 143100, 1520000, 98, 157199, 143300
40000, 143100, 40005, 143100, 1520000, 99, 158803, 143300
62500, 223568, 62505, 223568, 2375000, 1, 2011, 250291
62500, 223568, 62505, 223568, 2375000, 2, 4015, 234189
62500, 223568, 62505, 223568, 2375000, 3, 6019, 226194
62500, 223568, 62505, 223568, 2375000, 4, 8023, 227538
62500, 223568, 62505, 223568, 2375000, 5, 10027, 229986
62500, 223568, 62505, 223568, 2375000, 6, 12031, 228134
62500, 223568, 62505, 223568, 2375000, 7, 14035, 224173
62500, 223568, 62505, 223568, 2375000, 8, 16039, 224841
62500, 223568, 62505, 223568, 2375000, 9, 18043, 224496
